repo,fork_default_branch,vs_upstream_main_status,commits_ahead_of_upstream_main,commits_behind_upstream_main,branches_on_fork_not_on_upstream,branches_on_upstream_not_on_fork,compare_error,fork_pushed_at,fork_stars
jarvisdoanything/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
kkkkjack/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
AlexDev404/vphone-cli,main,behind,0,37,,,,2026-03-30T23:59:37Z,0
neuexg/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
MrHuangJser/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,0
KaliRootSuperUser/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-30T23:59:37Z,1
h78nl/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
Razin-Dev/Iphone67,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
aofalyb/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
alvis233/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
kakahu2015/vphone-cli,main,behind,0,19,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-09T01:37:20Z,0
chonline/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
linsion/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
rabinsxp/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
ozkalkans/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
yongshuai1013/vphone-cli,main,behind,0,5,,,,2026-04-26T13:59:20Z,0
bruce-akc/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
mpass99/vphone-cli,main,diverged,11,31,feature/patchless;feature/patchless-binpack;fix/video-acceleration;patchless-hardening,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-22T15:13:16Z,1
netindiapro/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
1024BytesTyobi/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
mananpa/vphone-cli,main,,,,,feat/vphoned-modules-and-menus;main;swift-yyds,"{""message"":""Not Found"",""documentation_url"":""https://docs.github.com/rest/commits/commits#compare-two-commits"",""status"":""404""} | branches_fetch:404",2026-03-18T18:24:01Z,0
